Attrition;Age;Deplacements;Departement;DistanceDomicile;NiveauFormation;Genre;StatutMarital;AnnesDsEnt;AnneesPromo
Non;44;1;3;28;3;2;3;12;11
Non;45;1;3;11;2;2;3;9;1
Non;34;1;3;1;4;1;2;15;0
Non;59;1;3;1;2;1;3;6;0
Non;34;1;3;10;4;2;3;1;0
Non;28;1;3;10;1;1;3;1;0
Non;40;1;3;26;3;1;3;7;7
Non;54;1;3;2;4;2;3;9;7
Non;43;1;3;25;3;1;2;1;0
Oui;35;1;3;4;3;1;1;8;4
Non;37;1;3;10;4;2;2;1;0
Non;38;1;3;10;4;1;2;8;2
Non;46;1;3;3;1;1;3;12;4
Non;38;1;3;2;2;1;1;1;0
Non;49;1;3;8;4;1;3;9;2
Oui;33;1;3;9;4;2;1;5;0
Non;34;1;3;9;1;2;3;6;1
Oui;29;1;3;23;1;2;3;11;3
Non;42;1;3;4;4;1;1;6;1
Non;30;1;3;10;3;1;3;10;1
Oui;43;1;3;9;3;2;1;4;1
Non;46;1;3;2;3;2;3;26;15
Non;30;1;3;29;4;1;2;4;0
Non;35;1;3;17;4;1;3;7;1
Non;20;1;3;21;3;1;1;2;2
Non;60;1;3;7;4;1;2;11;1
Non;40;1;3;10;3;2;2;5;1
Non;25;1;3;10;4;1;1;4;1
Non;59;1;3;3;3;2;1;6;0
Non;44;1;3;5;3;1;3;22;3
Non;33;1;3;10;5;1;2;9;0
Oui;45;1;3;2;3;2;1;24;1
Non;46;1;3;4;2;2;3;11;0
Non;34;1;3;2;3;2;1;3;0
Non;43;1;3;4;4;2;1;21;15
Non;32;1;3;8;3;1;3;10;0
Oui;40;1;3;25;4;1;1;5;1
Oui;52;1;3;5;3;1;1;8;7
Non;38;1;3;2;2;2;2;7;1
Non;34;1;3;15;2;2;1;10;9
Non;27;1;3;11;3;2;3;1;0
Oui;55;1;3;13;4;1;1;19;3
Non;28;1;3;26;3;1;3;5;0
Non;39;1;3;21;4;1;3;5;1
Non;32;1;3;2;1;1;3;3;1
Non;25;1;3;18;1;1;3;3;1
Non;27;1;3;10;3;2;3;6;4
Non;36;1;3;3;4;2;1;5;0
Non;30;1;3;7;4;2;2;3;0
Non;36;1;3;16;4;2;3;3;0
Oui;25;1;3;9;2;1;3;3;2
Non;24;1;3;4;1;2;3;5;0
Non;32;1;3;7;5;1;3;4;0
Non;31;1;3;8;2;1;2;13;9
Oui;46;1;3;9;3;1;2;7;4
Non;48;1;3;7;3;1;2;2;2
Non;28;1;3;5;3;1;1;5;1
Non;34;1;3;3;3;1;1;13;3
Non;30;1;3;16;1;1;3;2;2
Oui;34;1;3;24;4;2;1;15;10
Non;35;1;3;7;1;1;3;1;0
Non;29;1;3;19;3;1;2;10;0
Non;47;1;3;14;3;2;3;5;1
Non;46;1;3;3;3;2;3;13;5
Non;34;1;3;1;3;1;3;10;8
Non;34;1;3;7;2;1;3;11;5
Non;40;1;3;9;2;1;3;8;7
Non;35;1;3;28;4;2;3;5;4
Non;36;1;3;2;4;1;1;3;1
Non;48;1;3;16;4;2;2;8;7
Non;33;1;3;8;4;1;3;2;2
Oui;30;1;3;1;3;1;3;10;6
Non;30;1;3;29;4;1;3;4;1
Non;55;1;3;26;5;1;3;36;2
Non;38;1;3;14;3;1;3;9;7
Non;38;1;3;16;3;2;1;3;1
Non;36;1;3;1;4;2;1;1;0
Non;39;1;3;6;3;1;3;7;7
Non;50;1;3;9;3;1;3;1;0
Non;40;1;3;14;2;2;3;5;1
Non;46;1;3;1;4;1;1;26;0
Oui;35;1;3;10;3;1;3;13;6
Oui;35;1;3;15;2;1;2;2;2
Non;29;1;3;10;3;1;1;5;1
Non;20;1;3;2;3;2;1;2;2
Non;29;1;3;5;3;1;2;10;0
Non;33;1;3;2;4;1;2;6;0
Non;31;1;3;5;4;2;3;10;0
Non;47;1;3;2;4;2;2;3;1
Non;41;1;3;23;2;1;1;2;0
Non;20;1;3;9;1;1;1;2;0
Oui;23;1;3;7;3;1;2;3;0
Non;43;1;3;2;3;1;3;10;8
Non;41;1;3;6;3;1;1;10;8
Non;36;1;3;2;4;2;1;13;6
Non;46;1;3;2;3;1;2;10;0
Oui;36;1;3;13;5;1;2;2;2
Oui;32;1;3;1;2;1;1;0;0
Non;32;1;3;19;3;1;3;4;0
Non;40;1;3;7;4;1;1;21;12
Non;31;1;3;5;3;1;3;5;0
Oui;29;1;3;9;3;2;1;2;2
Non;30;1;3;15;2;1;2;7;1
Non;49;1;3;11;4;2;1;5;0
Oui;33;1;3;16;3;2;1;0;0
Oui;31;1;3;16;4;1;3;1;0
Non;34;1;3;3;2;2;1;2;2
Oui;21;1;3;7;1;1;1;1;1
Non;31;1;3;29;4;2;3;12;5
Non;37;1;3;9;2;1;3;5;0
Oui;35;1;3;27;3;1;1;10;7
Non;41;1;3;4;1;2;2;22;13
Non;34;1;3;8;2;1;3;10;4
Non;38;1;3;2;4;2;3;4;0
Non;26;1;3;10;3;1;1;5;1
Oui;32;1;3;2;4;1;1;2;2
Non;46;1;3;3;3;2;2;19;2
Non;27;1;3;23;1;2;3;9;5
Oui;46;1;3;10;3;2;3;8;0
Non;28;1;3;3;3;2;3;1;0
Oui;30;1;3;9;3;1;1;1;0
Non;36;1;3;10;4;2;3;10;1
Non;34;1;3;4;3;1;3;5;1
Non;27;1;3;2;2;2;1;8;0
Non;36;1;3;17;2;1;3;4;1
Non;41;1;3;8;3;2;3;5;1
Non;31;1;3;10;2;2;2;5;1
Non;34;1;3;3;1;2;3;4;0
Non;33;1;3;10;4;1;1;10;0
Oui;28;1;3;13;2;2;1;2;2
Non;56;1;3;11;5;2;3;0;0
Non;58;1;3;21;3;2;3;1;0
Non;42;1;3;12;4;1;2;0;0
Non;35;1;3;18;4;1;3;5;0
Non;34;1;3;1;3;1;1;14;2
Non;34;1;3;13;4;1;2;8;1
Non;38;1;3;1;3;1;1;1;0
Non;35;1;3;7;4;2;3;10;0
Non;27;1;3;9;3;1;1;7;0
Oui;53;1;3;24;4;1;1;2;2
Non;39;1;3;15;4;1;1;20;11
Non;40;1;3;2;2;2;3;11;5
Non;38;1;3;1;4;1;3;15;5
Non;31;1;3;2;2;1;3;2;1
Non;32;1;3;1;4;1;3;2;2
Non;32;1;3;1;4;2;3;14;5
Non;25;1;3;8;2;2;2;5;0
Non;21;1;3;5;1;1;1;2;1
Non;36;1;3;3;3;2;3;9;3
Non;34;1;3;28;3;2;3;8;1
Non;41;1;3;3;3;1;2;5;0
Non;38;1;3;10;2;2;3;10;1
Non;36;1;3;11;4;2;3;6;0
Non;45;1;3;20;3;2;1;5;0
Oui;50;1;3;28;3;1;2;3;2
Non;39;1;3;24;1;2;3;20;9
Non;26;1;3;5;3;2;1;4;0
